,Unnamed: 0,序号,辖区,零售药店代码（国家）,零售药店名称,地址,X,Y,Cluster,demand
0,0,1,南山区,P44030504506,深圳市健华药业连锁有限公司,深圳市南山区桃源街道桃源社区北环大道方大广场（一期）3、4号研发楼3号楼805,113.972673,22.556772,2,1477.0
1,1,2,宝安区,P44030602632,深圳市健华药业连锁有限公司锦花分店,深圳市宝安区西乡街道固戍下围园工业区A栋1F103号,113.844884,22.59667,1,2429.0
2,2,3,宝安区,P44030602643,深圳市健华药业连锁有限公司流塘分店,广东省深圳市宝安区西乡街道流塘社区工业路38号－2,113.885481,22.569978,1,2703.0
3,3,4,宝安区,P44030602642,深圳市健华药业连锁有限公司流塘新村分店,深圳市宝安区西乡街道流塘社区新村6巷9号一楼101铺,113.88568,22.579188,1,2928.0
4,4,5,宝安区,P44030602645,深圳市健华药业连锁有限公司奇生分店,深圳市宝安区西乡街道固戍社区固戍一路849号,113.849231,22.596885,1,2742.0
5,5,6,宝安区,P44030602636,深圳市健华药业连锁有限公司三围分店,深圳市宝安区航城街道三围社区西六巷10号102,113.844374,22.613456,1,2595.0
6,6,7,宝安区,P44030602638,深圳市健华药业连锁有限公司西乡凤凰岗分店,深圳市宝安区西乡街道凤凰岗社区宝田一路213宝田一路213－2,113.885472,22.599791,1,2925.0
7,7,8,宝安区,P44030602622,深圳市健华药业连锁有限公司西乡桃源分店,深圳市宝安区西乡街道桃源居世外桃源12栋102号,113.864162,22.615899,1,2496.0
8,8,9,宝安区,P44030602640,深圳市健华药业连锁有限公司下十围分店,深圳市宝安区福永街道福围社区东福围西街3号东福围西街3－2号－1,113.820142,22.653785,1,3013.0
9,9,10,宝安区,P44030602621,深圳市健华药业连锁有限公司新二第一分店,深圳市宝安区新桥街道新二社区新二路42号新二路42-2,113.840856,22.728572,1,2911.0
10,10,11,宝安区,P44030602618,深圳市健华药业连锁有限公司新桥分店,深圳市宝安区新桥街道新桥社区新桥一路9号锦波楼9－1,113.837476,22.734862,1,2336.0
11,11,12,宝安区,P44030602629,深圳市健华药业连锁有限公司中和堂分店,深圳市宝安区航城街道黄田社区黄田市场E区003（3、4、5号铺）,113.848572,22.627205,1,2924.0
12,12,13,宝安区,P44030602634,深圳市健华药业连锁有限公司西乡径贝分店,广东省深圳市宝安区西乡街道径贝社区径贝新村243号一楼102,113.876499,22.567437,1,2980.0
13,13,14,宝安区,P44030602641,深圳市健华药业连锁有限公司新桥创新分店,深圳市宝安区新桥街道沙企社区富通路二巷2号创新花园富通路111,113.830891,22.72024,1,2800.0
14,14,15,宝安区,P44030602637,深圳市健华药业连锁有限公司丽都花园分店,深圳市宝安区新桥街道上寮社区企安路12-64所在楼栋企安路12-64（8栋A座C01铺）,113.883831,22.554986,1,2975.0
15,15,16,宝安区,P44030602633,深圳市健华药业连锁有限公司荣康分店,深圳市宝安区西乡街道永丰社区一队A区4-95号一楼,113.869605,22.573758,1,2756.0
16,16,17,宝安区,P44030602646,深圳市健华药业连锁有限公司固戍海滨分店,深圳市宝安区西乡街道固戍社区海滨新村五区六巷4号102,113.845496,22.588233,1,2577.0
17,17,18,宝安区,P44030602649,深圳市健华药业连锁有限公司鸿景源分店,深圳市宝安区新安街道宝城34区宝民路鸿景园5栋124,113.891776,22.573906,1,2756.0
18,18,19,宝安区,P44030602625,深圳市健华药业连锁有限公司安乐二分店,深圳市宝安区新安街道41区43栋首层（原新安镇翻身安乐41区109号）,113.900711,22.558834,1,2905.0
19,19,20,宝安区,P44030602631,深圳市健华药业连锁有限公司上排分店,深圳市宝安区石岩街道龙腾社区上排新村南三巷3号一层101,113.935367,22.68722,1,2927.0
20,20,21,宝安区,P44030602626,深圳市健华药业连锁有限公司永康分店,深圳市宝安区石岩街道罗租社区罗租上新村八巷 14 号 一层,113.938744,22.6734,1,2728.0
21,21,22,宝安区,P44030602647,深圳市健华药业连锁有限公司沙井同升分店,广东省深圳市宝安区沙井街道和一社区松福大道1021号101-103,113.7909,22.713266,1,2608.0
22,22,23,宝安区,P44030603481,深圳市宝安药业大药房有限公司西乡二店,深圳市宝安区西乡街道龙珠社区龙吟二路133号1层,113.879043,22.580057,1,2882.0
23,23,24,宝安区,P44030603484,深圳市宝安药业大药房有限公司西乡店,深圳市宝安区西乡街道西乡社区真理街105号真理街123、125号,113.879009,22.574675,1,2625.0
24,24,25,宝安区,P44030601184,深圳市健鹏药业有限公司,深圳市宝安区航城街道钟屋社区易尚三维产业楼1号楼703,113.859482,22.622234,1,2848.0
25,25,26,宝安区,P44030601194,深圳市健鹏药业有限公司臣田分店,深圳市宝安区西乡街道臣田社区臣田村西区1号101-102,113.876704,22.591358,1,2519.0
26,26,27,宝安区,P44030601195,深圳市健鹏药业有限公司共乐分店,深圳市宝安区西乡街道共乐社区上塘127号101,113.872806,22.57801,1,2656.0
27,27,28,宝安区,P44030601171,深圳市健鹏药业有限公司固戍分店,深圳市宝安区西乡街道固戍社区下围园新村六巷9-2号,113.846328,22.597752,1,2584.0
28,28,29,宝安区,P44030601181,深圳市健鹏药业有限公司怀德分店,深圳市宝安区福永街道怀德社区咸田三区一巷7号立新南路140号,113.816416,22.663919,1,2779.0
29,29,30,宝安区,P44030601188,深圳市健鹏药业有限公司劳动分店,深圳市宝安区西乡街道永丰社区劳动一队4-74号102铺,113.868884,22.573361,1,2927.0
30,30,31,宝安区,P44030601196,深圳市健鹏药业有限公司流塘分店,深圳市宝安区西乡街道流塘社区荔园一路60号一楼之一,113.889434,22.580289,1,3037.0
31,31,32,宝安区,P44030601186,深圳市健鹏药业有限公司楼岗大道分店,深圳市宝安区松岗街道楼岗社区楼岗大道48号F栋101-1,113.858511,22.76583,1,2692.0
32,32,33,宝安区,P44030601201,深圳市健鹏药业有限公司桥兴分店,深圳市宝安区福海街道桥头社区桥兴路31号桥兴路31号-2,113.807037,22.68881,1,2518.0
33,33,34,宝安区,P44030601189,深圳市健鹏药业有限公司铁岗一分店,深圳市宝安区西乡街道铁岗社区西六巷1号101,113.885976,22.601622,1,2672.0
34,34,35,宝安区,P44030601173,深圳市健鹏药业有限公司同升分店,深圳市宝安区沙井街道蚝乡社区西沙路陞达厂公寓楼108,113.789532,22.736988,1,3121.0
35,35,36,宝安区,P44030601187,深圳市健鹏药业有限公司同心分店,深圳市宝安区新安街道上川路31区A3栋101号（新号104号）,113.896399,22.573488,1,2689.0
36,36,37,宝安区,P44030601193,深圳市健鹏药业有限公司西乡二分店,深圳市宝安区西乡街道宝田一路臣田新苑5号楼首层4号铺,113.877218,22.593971,1,2990.0
37,37,38,宝安区,P44030601190,深圳市健鹏药业有限公司新安分店,深圳市宝安区新安街道71区7#9幢首层（创业二路391号）,113.918575,22.581777,1,2776.0
38,38,39,宝安区,P44030601192,深圳市健鹏药业有限公司新岸线分店,深圳市宝安区新安街道新安大道东南侧深业＊新岸线11栋29,113.874742,22.559208,1,2669.0
39,39,40,宝安区,P44030601200,深圳市健鹏药业有限公司永福分店,深圳市宝安区松岗街道平安路居乐苑添福楼10-10号铺,113.851499,22.76756,1,2621.0
40,40,41,宝安区,P44030601197,深圳市健鹏药业有限公司固戍三分店,深圳市宝安区西乡街道固兴社区固戍一路353号所在楼栋相约网吧101,113.860263,22.600903,1,2706.0
41,41,42,宝安区,P44030601198,深圳市健鹏药业有限公司铁岗分店,深圳市宝安区西乡街道铁岗社区南四巷五号-3,113.8868,22.600134,1,2673.0
42,42,43,宝安区,P44030601199,深圳市健鹏药业有限公司铁岗二分店,深圳市宝安区西乡街道铁岗社区东二巷2号101,113.888194,22.59956,1,2786.0
