序号,辖区,零售药店代码（国家）,零售药店名称,地址,X,Y
1,南山区,P44030504506,深圳市健华药业连锁有限公司,深圳市南山区桃源街道桃源社区北环大道方大广场（一期）3、4号研发楼3号楼805,113.972673,22.556772
2,宝安区,P44030602632,深圳市健华药业连锁有限公司锦花分店,深圳市宝安区西乡街道固戍下围园工业区A栋1F103号,113.844884,22.59667
3,宝安区,P44030602643,深圳市健华药业连锁有限公司流塘分店,广东省深圳市宝安区西乡街道流塘社区工业路38号－2,113.885481,22.569978
4,宝安区,P44030602642,深圳市健华药业连锁有限公司流塘新村分店,深圳市宝安区西乡街道流塘社区新村6巷9号一楼101铺,113.88568,22.579188
5,宝安区,P44030602645,深圳市健华药业连锁有限公司奇生分店,深圳市宝安区西乡街道固戍社区固戍一路849号,113.849231,22.596885
6,宝安区,P44030602636,深圳市健华药业连锁有限公司三围分店,深圳市宝安区航城街道三围社区西六巷10号102,113.844374,22.613456
7,宝安区,P44030602638,深圳市健华药业连锁有限公司西乡凤凰岗分店,深圳市宝安区西乡街道凤凰岗社区宝田一路213宝田一路213－2,113.885472,22.599791
8,宝安区,P44030602622,深圳市健华药业连锁有限公司西乡桃源分店,深圳市宝安区西乡街道桃源居世外桃源12栋102号,113.864162,22.615899
9,宝安区,P44030602640,深圳市健华药业连锁有限公司下十围分店,深圳市宝安区福永街道福围社区东福围西街3号东福围西街3－2号－1,113.820142,22.653785
10,宝安区,P44030602621,深圳市健华药业连锁有限公司新二第一分店,深圳市宝安区新桥街道新二社区新二路42号新二路42-2,113.840856,22.728572
11,宝安区,P44030602618,深圳市健华药业连锁有限公司新桥分店,深圳市宝安区新桥街道新桥社区新桥一路9号锦波楼9－1,113.837476,22.734862
12,宝安区,P44030602629,深圳市健华药业连锁有限公司中和堂分店,深圳市宝安区航城街道黄田社区黄田市场E区003（3、4、5号铺）,113.848572,22.627205
13,宝安区,P44030602634,深圳市健华药业连锁有限公司西乡径贝分店,广东省深圳市宝安区西乡街道径贝社区径贝新村243号一楼102,113.876499,22.567437
14,宝安区,P44030602641,深圳市健华药业连锁有限公司新桥创新分店,深圳市宝安区新桥街道沙企社区富通路二巷2号创新花园富通路111,113.830891,22.72024
15,宝安区,P44030602637,深圳市健华药业连锁有限公司丽都花园分店,深圳市宝安区新桥街道上寮社区企安路12-64所在楼栋企安路12-64（8栋A座C01铺）,113.883831,22.554986
16,宝安区,P44030602633,深圳市健华药业连锁有限公司荣康分店,深圳市宝安区西乡街道永丰社区一队A区4-95号一楼,113.869605,22.573758
17,宝安区,P44030602646,深圳市健华药业连锁有限公司固戍海滨分店,深圳市宝安区西乡街道固戍社区海滨新村五区六巷4号102,113.845496,22.588233
18,宝安区,P44030602649,深圳市健华药业连锁有限公司鸿景源分店,深圳市宝安区新安街道宝城34区宝民路鸿景园5栋124,113.891776,22.573906
19,宝安区,P44030602625,深圳市健华药业连锁有限公司安乐二分店,深圳市宝安区新安街道41区43栋首层（原新安镇翻身安乐41区109号）,113.900711,22.558834
20,宝安区,P44030602631,深圳市健华药业连锁有限公司上排分店,深圳市宝安区石岩街道龙腾社区上排新村南三巷3号一层101,113.935367,22.68722
21,宝安区,P44030602626,深圳市健华药业连锁有限公司永康分店,深圳市宝安区石岩街道罗租社区罗租上新村八巷 14 号 一层,113.938744,22.6734
22,宝安区,P44030602647,深圳市健华药业连锁有限公司沙井同升分店,广东省深圳市宝安区沙井街道和一社区松福大道1021号101-103,113.7909,22.713266
23,宝安区,P44030603481,深圳市宝安药业大药房有限公司西乡二店,深圳市宝安区西乡街道龙珠社区龙吟二路133号1层,113.879043,22.580057
24,宝安区,P44030603484,深圳市宝安药业大药房有限公司西乡店,深圳市宝安区西乡街道西乡社区真理街105号真理街123、125号,113.879009,22.574675
25,宝安区,P44030601184,深圳市健鹏药业有限公司,深圳市宝安区航城街道钟屋社区易尚三维产业楼1号楼703,113.859482,22.622234
26,宝安区,P44030601194,深圳市健鹏药业有限公司臣田分店,深圳市宝安区西乡街道臣田社区臣田村西区1号101-102,113.876704,22.591358
27,宝安区,P44030601195,深圳市健鹏药业有限公司共乐分店,深圳市宝安区西乡街道共乐社区上塘127号101,113.872806,22.57801
28,宝安区,P44030601171,深圳市健鹏药业有限公司固戍分店,深圳市宝安区西乡街道固戍社区下围园新村六巷9-2号,113.846328,22.597752
29,宝安区,P44030601181,深圳市健鹏药业有限公司怀德分店,深圳市宝安区福永街道怀德社区咸田三区一巷7号立新南路140号,113.816416,22.663919
30,宝安区,P44030601188,深圳市健鹏药业有限公司劳动分店,深圳市宝安区西乡街道永丰社区劳动一队4-74号102铺,113.868884,22.573361
31,宝安区,P44030601196,深圳市健鹏药业有限公司流塘分店,深圳市宝安区西乡街道流塘社区荔园一路60号一楼之一,113.889434,22.580289
32,宝安区,P44030601186,深圳市健鹏药业有限公司楼岗大道分店,深圳市宝安区松岗街道楼岗社区楼岗大道48号F栋101-1,113.858511,22.76583
33,宝安区,P44030601201,深圳市健鹏药业有限公司桥兴分店,深圳市宝安区福海街道桥头社区桥兴路31号桥兴路31号-2,113.807037,22.68881
